30.454	32.296	38.238	41.234	43.405	39.987	32.724	31.517	31.561	32.971	29.523	27.786
29.544	30.412	36.105	40.53	40.42	39.225	32.065	30.668	31.452	31.498	28.167	27.123
29.599	31.684	36.387	41.78	42.483	36.967	32.042	30.521	31.122	32.664	29.072	28.48
28.659	29.208	35.904	38.262	43.038	40.109	32.015	30.924	30.875	32.331	30.375	27.511
28.626	31.771	35.675	41.444	43.653	37.004	31.537	30.659	30.894	32.142	30.221	28.649
29.013	31.316	35.655	37.544	41.226	38.125	32.648	29.233	32.268	33.844	30.997	27.3
27.855	32	35.735	41.563	43.177	38.912	31.203	29.7	31.753	32.582	29.294	26.495
30.242	32.148	37.653	37.903	41.981	36.731	31.146	31.055	31.117	32.576	30.191	28.718
29.036	31	36.628	41.173	42.523	36.139	31.905	30.444	31.108	31.906	28.226	27.926
29.84	30.534	35.478	40.587	43.822	36.607	32.705	30.103	31.448	33.19	31.133	28.052
29.456	32.467	36.871	40.335	42.73	40.988	32.445	30.348	31.821	32.888	29.715	27.306
28.423	32.609	36.078	42.16	41.587	36.343	31.891	30.263	32.172	33.439	30.322	28.561
29.199	32.713	36.141	38.907	42.032	36.746	31.801	30.601	31.621	33.015	31.18	28.276
28.667	31.264	35.338	39.692	42.988	40.439	32.815	30.408	31.938	33.419	31.751	27.449
28.641	31.653	37.21	41.452	42.432	34.958	32.214	30.544	31.53	32.787	30.236	26.828
28.612	30.361	34.808	38.306	40.057	35.784	31.495	30.813	30.892	32.444	29.075	28.386
27.316	32.122	36.42	39.998	41.204	35.246	32.958	30.413	32.485	32.762	30.802	28.231
29.84	31.371	36.471	39.562	41.477	36.206	31.68	30.062	31.901	32.029	31.127	27.733
29.051	31.546	36.618	39.844	40.573	38.805	31.587	31.119	32.63	34.155	30.572	28.639
29.798	31.816	38.494	41.95	44.535	36.904	32.479	30.725	31.051	32.649	28.782	28.665
28.646	32.423	37.537	41.309	43.136	37.163	31.637	30.589	31.067	32.293	29.71	27.062
28.892	31.242	36.024	40.601	42.362	41.132	31.564	29.805	31.413	31.203	29.923	28.785
29.779	33.273	38.042	41.867	42.806	39.999	32.139	30.806	31.363	31.75	28.78	28.217
27.766	31.021	36.555	41.955	40.974	36.277	30.779	30.485	32.167	33.278	30.545	27.302
29.158	32.514	36.196	38	40.385	41.023	32.603	30.166	31.622	32.254	28.7	27.719
30.445	31.979	35.831	41.184	42.711	37.888	31.169	30.708	32.089	32.566	28.258	28.598
29.823	31.635	36.731	40.353	43.678	37.771	31.525	31.432	31.988	32.762	30.456	28.267
29.493	30.467	37.125	39.767	43.436	37.094	31.393	30.551	31.507	32.668	29.903	28.36
