1.317	0.083	0.002	3.507	1.392	43.912	294.9	236.838	118.795	21.66	13.277	25.209
0.708	1.296	0.009	2.568	53.556	146.881	506.199	382.404	151.783	90.38	0.041	0.512
1.391	4.657	22.645	0.006	8.615	197.319	144.958	200.751	167.806	39.6	0.011	4.324
6.847	16.326	4.795	16.569	6.78	154.956	226.394	314.906	413.202	0.599	0.011	0.145
6.537	9.492	15.596	0.006	14.278	396.977	355.979	386.537	96.26	2.952	15.309	8.275
2.038	44.235	0.158	35.566	3.326	230.358	249.264	359.269	90.882	0.415	15.277	4.93
5.045	4.26	14.482	6.114	1.89	249.287	348.508	331.113	264.4	4.373	0.011	4.932
0.99	14.467	2.501	33.231	50.085	173.092	438.101	179.849	116.577	5.042	0.011	88.18
0.066	0.081	0.002	0.063	20.48	343.312	300.868	373.591	298.738	65.364	69.001	0.144
7.877	0.114	3.53	0.006	2.506	316.886	134.313	427.323	167.208	26.499	45.792	0.144
0.447	61.333	0.002	18.497	3.573	33.762	431.915	517.902	117.505	0.762	15.392	0.531
0	43.616	23.901	1.364	32.559	258.041	355.141	358.852	164.719	6.779	1.639	24.535
0	12.081	14.778	55.175	35.275	187.657	325.998	301.525	300.519	1.79	2.305	8.267
24.541	7.726	43.882	50.704	4.58	192.286	382.668	198.263	247.164	85.416	2.545	5.632
0	20.729	0.327	2.789	21.532	258.767	337.139	341.811	265.204	154.041	33.353	0.144
0	65.567	19.917	3.408	46.931	202.682	210.289	212.452	333.856	104.006	0.011	0.144
2.584	6.571	2.274	0.6	49.446	288.703	192.997	229.081	51.587	4.855	37.366	23.199
57.106	55.433	16.141	3.812	18.865	429.915	338.38	382.205	129.618	78.752	23.721	2.29
16.021	0.081	9.674	10.135	3.419	106.242	269.274	122.653	108.223	0.499	0.011	0.144
12.391	0.093	0.002	1.242	0.06	178.448	201.402	269.571	204.133	0.645	0.173	0.144
20.666	2.322	0.002	5.131	2.68	193.451	301.651	136.844	366.645	0.985	52.794	0.6
0.905	9.963	28.234	7.253	2.271	25.678	474.544	248.716	299.445	7.301	0.046	0.144
13.021	0.836	4.271	7.84	0.834	55.124	283.175	177.704	199.98	125.077	36.324	6.027
0	0.081	2.556	1.514	46.7	187.767	266.935	467.783	78.433	41.108	68.922	2.524
50.651	0.579	40.436	50.045	43.515	37.22	441.158	461.148	106.393	72.558	3.24	7.579
0.29	32.365	14.901	1.387	6.406	335.963	403.615	233.711	101.887	42.498	70.642	2.251
0.663	40.92	5.97	0.247	3.282	146.486	293.687	119.325	206.627	75.697	0.011	16.826
3.264	35.398	0.077	5.545	0.456	170.879	241.06	157.33	222.954	34.843	0.011	37.279
0	1.831	0.757	45.039	2.788	199.961	286.628	183.17	131.615	30.86	12.734	1.491
6.357	1.503	29.514	5.557	5.923	120.969	457.096	340.609	231.608	177.858	34.125	1.997
0	36.859	12.515	7.062	27.672	235.577	499.614	185.961	170.611	31.887	13.652	0.144
1.96	44.228	22.975	18.568	57.056	188.275	433.922	441.339	296.617	77.262	14.642	4.626
1.184	0.081	0.108	20.439	0.288	184.806	249.425	447.803	290.937	21.65	31.289	0.484
19.234	5.446	0.23	31.247	0.509	191.865	472.065	217.086	179.904	7.396	0.011	2.065
4.196	59.72	20.378	6.351	27.529	365.962	264.776	327.797	186.874	112.137	47.929	10.813
0	39.757	58.299	55.898	5.836	181.275	570.747	310.907	211.433	109.896	0.011	2.745
4.335	10.477	7.656	17.918	35.157	357.142	387.759	283.548	149.682	100.236	0.081	0.144
2.143	0.743	39.804	7.524	0.057	118.665	276.812	397.835	60.643	14.566	2.198	0.231
0.077	11.769	0.485	8.216	6.227	383.485	629.45	393.407	63.386	81.999	14.294	9.616
5.312	13.982	30.106	7.023	1.967	119.286	433.88	183.2	146.368	4.583	0.059	0.144
2.316	82.404	0.078	15.085	1.575	171.68	490.519	400.393	260.577	7.89	0.017	15.869
55.899	0.314	0.595	10.283	22.083	135.659	233.449	152.646	244.183	78.617	0.173	0.144
4.68	79.247	79.173	0.856	4.316	135.498	512.972	348.243	155.55	57.071	8.421	0.144
16.08	0.081	0.002	35.507	5.016	162.941	464.538	279.274	196.586	25.671	0.092	0.197
0	22.873	2.857	24.292	5.954	276.742	360.034	299.437	88.158	3.207	38.31	10.831
49.977	28.82	16.832	3.7	7.064	135.54	382.387	382.189	124.267	3.941	0.074	1.619
55.884	13.325	10.741	2.005	1.027	147.582	438.94	284.261	202.633	18.629	84.777	0.144
0.555	3.574	0.23	3.002	21.008	149.371	422.105	199.737	247.859	128.452	0.011	0.466
0.297	18.91	15.211	0.43	5.138	90.836	300.824	128.919	85.684	10.142	0.206	6.68
3.543	0.281	62.087	19.16	12.834	129.412	289.678	356.96	176.548	96.964	0.012	0.144
0	10.262	7.826	4.654	2.924	104.458	140.178	247.946	81.448	24.559	0.011	0.353
2.063	3.315	0.002	12.416	0.691	126.316	210.85	413.246	151.381	44.484	0.026	0.144
0.634	0.566	5.347	22.863	0.488	175.951	462.069	320.062	280.225	2.635	0.011	0.233
18.588	0.087	0.774	23.064	2.377	271.598	284.91	426.504	208.325	154.971	0.066	0.144
0	1.598	2.561	0.025	59.806	250.127	302.458	170.131	264.552	36.973	54.739	6.024
8.009	1.524	50.762	65.716	3.797	124.157	245.252	379.283	85.531	12.583	0.011	0.493
1.295	0.807	6.369	17.353	5.222	121.512	302.176	346.288	203.083	57.615	21.766	0.144
12.352	0.948	0.429	14.614	6.677	271.31	448.066	321.48	336.748	70.285	1.122	0.185
49.86	0.081	30.085	17.035	2.079	154.633	392.887	324.313	126.343	36.73	0.011	0.469
6.251	3.871	2.557	7.675	21.013	116.005	313.611	397.375	392.298	108.989	0.361	9.665
3.377	5.19	27.282	40.276	28.82	52.373	337.124	269.503	334.972	0.84	37.758	103.553
0	18.21	4.607	31.267	14.111	182.094	200.567	332.651	99.082	77.966	0.348	0.144
0	1.514	5.108	0.805	0.144	128.689	182.19	463.639	163.63	21.608	3.171	0.144
12.935	18.793	18.235	30.547	2.676	239.334	222.056	152.628	153.791	1.145	0.072	0.19
16.356	0.081	16.186	2.48	79.327	68.593	343.8	192.686	179.453	1.355	25.438	26.05
0.476	0.081	60.169	3.228	2.447	184.87	368.037	137.035	82.835	1.143	0.011	99.907
11.473	39.155	34.87	35.944	0.625	126.321	299.144	173.339	239.55	4.898	3.133	13.693
0.704	0.149	0.279	1.399	4.729	108.193	406.572	158.771	285.146	3.619	8.963	0.911
14.257	4.511	35.393	4.359	32.801	346.49	283.77	526.095	260.012	3.736	0.011	0.144
6.4	6.316	16.117	10.927	30.673	272.572	135.45	96.713	169.307	125.986	0.011	0.144
0	3.019	0.002	2.09	4.057	118.21	220.203	240.72	30.045	11.153	17.477	1.919
0.033	6.135	0.04	0.951	0.065	77.538	430.985	239.603	184.506	163.3	0.011	0.548
0	2.387	0.998	0.177	4.663	128.801	256.495	303.662	63.418	177.642	19.872	0.144
4.162	22.757	18.804	0.062	5.718	291.5	328.177	317.925	311.986	69.191	0.012	0.144
5.113	0.081	13.45	17.377	16.908	78.984	377.829	269.203	221.854	0.401	57.101	0.173
0.043	1.327	6.395	5.11	9.991	155.261	292.8	380.973	177.562	19.249	66.786	3.594
17.976	47.692	42.963	21.903	2.503	198.039	281.486	396.88	57.292	6.396	23.537	43.599
47.827	71.135	0.122	1.111	19.146	179.898	250.36	376.265	104.095	3.158	21.972	24.865
4.32	1.925	0.705	8.479	0.116	206.878	237.98	355.734	116.944	1.131	0.011	24.491
21.6	1.313	25.053	5.803	10.198	214.854	258.104	295.73	351.705	32.307	0.21	8.16
63.104	21.934	2.244	20.396	15.048	133.935	267.675	118.568	202.311	24.713	7.713	0.144
4.541	0.606	1.342	4.511	16.579	175.372	397.926	299.946	252.505	53.871	0.018	16.84
48.327	43.422	0.02	4.22	1.51	94.148	274.362	283.803	50.293	34.628	0.011	0.144
24.647	2.934	2.058	13.197	10.516	207.922	364.163	296.584	78.409	221.336	0.011	3.236
